Pilot,Tail Number,Derived Origin,Start Latitude,Start Longitude,Derived Destination,End Latitude,End Longitude,Start Time,End Time,Total Duration,Total Distance,Initial Attitude Source,Device Model,Device Model Detailed,iOS Version,Battery Level,Battery State,GPS Source,Maximum Vertical Error,Minimum Vertical Error,Average Vertical Error,Maximum Horizontal Error,Minimum Horizontal Error,Average Horizontal Error,Imported From,Route Waypoints
"","N51448","KLVK",37.69303512573242,-121.81135559082031,"KRHV",37.33615493774414,-121.82081604003906,1753375181133,1753377996096,2814.962814807892,71.15845815442269,"None","iPad","iPad16,1","18.5",1.0,"Sentry",3.3329999446868896,1.0,1.476397259859272,4.333000183105469,1.0,1.182699040225243,"iOS",""
Timestamp,Latitude,Longitude,Altitude,Course,Speed,Bank,Pitch,Horizontal Error,Vertical Error
1.7533751811333141E9,37.69303512573242,-121.81135559082031,390.08858948554854,-1.0,0.0,,,3.6659998893737793,2.3329999446868896
1.753375182133264E9,37.69303512573242,-121.81135559082031,390.41994750656124,-1.0,0.0,,,2.6659998893737793,1.6660000085830688
1.753375183137644E9,37.69303512573242,-121.81136322021484,389.7637895398874,-1.0,0.0,,,2.0,1.3329999446868896
1.753375184154674E9,37.69303512573242,-121.81136322021484,389.10760654239164,-1.0,0.0,,,2.0,1.3329999446868896
1.753375185179929E9,37.69303512573242,-121.81136322021484,388.7795275590547,-1.0,0.0,,,1.6660000085830688,1.3329999446868896
1.753375186133387E9,37.69303512573242,-121.81136322021484,388.7795275590547,-1.0,0.0,,,1.3329999446868896,1.0
1.753375187159153E9,37.69303512573242,-121.81136322021484,388.44816953804195,-1.0,0.0,,,1.3329999446868896,1.0
1.7533751881996632E9,37.69303894042969,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.3329999446868896,1.0
1.753375190133141E9,37.69303894042969,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.753375191146078E9,37.69303894042969,-121.81136322021484,387.46718659488505,-1.0,0.0,,,1.0,1.0
1.7533751921339989E9,37.69303894042969,-121.81136322021484,387.46718659488505,-1.0,0.0,,,1.0,1.0
1.7533751931336021E9,37.69303894042969,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.753375194133666E9,37.69303894042969,-121.81136322021484,387.46718659488505,-1.0,0.0,,,1.0,1.0
1.753375195153133E9,37.69303894042969,-121.81136322021484,387.46718659488505,-1.0,0.0,,,1.0,1.0
1.75337519713335E9,37.69303894042969,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.753375198133004E9,37.69303894042969,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.7533751991338649E9,37.69303894042969,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.7533752001342158E9,37.69304275512695,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.7533752021402478E9,37.69304275512695,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.753375203140239E9,37.69304275512695,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.7533752042128968E9,37.69304275512695,-121.81136322021484,388.44816953804195,-1.0,0.0,,,1.0,1.0
1.753375205133867E9,37.69304275512695,-121.81136322021484,388.7795275590547,-1.0,0.0,,,1.0,1.0
1.753375206133002E9,37.69303894042969,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.753375207132561E9,37.69303512573242,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.753375208133778E9,37.69303512573242,-121.81136322021484,388.44816953804195,-1.0,0.0,,,1.0,1.0
1.753375209169283E9,37.693031311035156,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.753375210218092E9,37.693031311035156,-121.81136322021484,387.46718659488505,-1.0,0.0,,,1.0,1.0
1.753375211133144E9,37.693031311035156,-121.81136322021484,387.46718659488505,-1.0,0.0,,,1.0,1.0
1.753375212133405E9,37.693031311035156,-121.81136322021484,387.46718659488505,-1.0,0.0,,,1.0,1.0
1.753375213133398E9,37.693031311035156,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.753375214133868E9,37.693031311035156,-121.81136322021484,387.46718659488505,-1.0,0.0,,,1.0,1.0
1.753375215203946E9,37.69303512573242,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.753375217148422E9,37.69303894042969,-121.81136322021484,387.46718659488505,-1.0,0.0,,,1.0,1.0
1.75337521824597E9,37.69303894042969,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.753375219198574E9,37.69303894042969,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.7533752211338239E9,37.69303894042969,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.753375222133462E9,37.69303894042969,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.753375223140743E9,37.69303894042969,-121.81136322021484,388.44816953804195,-1.0,0.0,,,1.0,1.0
1.753375224133307E9,37.69303894042969,-121.81136322021484,388.44816953804195,-1.0,0.0,,,1.0,1.0
1.753375225134001E9,37.69303894042969,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.753375226134795E9,37.69303894042969,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.7533752281331801E9,37.69304275512695,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.753375229148314E9,37.69304275512695,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.753375230147785E9,37.69304275512695,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.753375231189935E9,37.69303894042969,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.753375232133769E9,37.69303894042969,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.753375233133745E9,37.69303894042969,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.7533752341339688E9,37.69303512573242,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.7533752351368542E9,37.693031311035156,-121.81136322021484,388.7795275590547,-1.0,0.0,,,1.0,1.0
1.753375236148377E9,37.69302749633789,-121.81136322021484,389.10760654239164,-1.0,0.0,,,1.0,1.0
1.753375237138288E9,37.69302749633789,-121.81136322021484,389.10760654239164,-1.0,0.0,,,1.0,1.0
1.7533752391334882E9,37.69302749633789,-121.81136322021484,388.7795275590547,-1.0,0.0,,,1.0,1.0
1.7533752401333299E9,37.693023681640625,-121.81136322021484,388.7795275590547,-1.0,0.0,,,1.0,1.0
1.753375241154338E9,37.69302749633789,-121.81136322021484,389.10760654239164,-1.0,0.0,,,1.0,1.0
1.753375243176712E9,37.693023681640625,-121.81136322021484,389.10760654239164,-1.0,0.0,,,1.0,1.0
1.7533752441371222E9,37.693023681640625,-121.81136322021484,388.7795275590547,-1.0,0.0,,,1.0,1.0
1.753375246134719E9,37.693023681640625,-121.81136322021484,389.10760654239164,-1.0,0.0,,,1.0,1.0
1.753375248135518E9,37.693023681640625,-121.81136322021484,389.10760654239164,-1.0,0.0,,,1.0,1.0
1.7533752501326308E9,37.693023681640625,-121.81136322021484,388.7795275590547,-1.0,0.0,,,1.0,1.0
1.753375251133751E9,37.693023681640625,-121.81136322021484,388.7795275590547,-1.0,0.0,,,1.0,1.0
1.7533752521822429E9,37.69301986694336,-121.81136322021484,388.7795275590547,-1.0,0.0,,,1.0,1.0
1.753375253208502E9,37.693023681640625,-121.81136322021484,388.7795275590547,-1.0,0.0,,,1.0,1.0
1.7533752541452909E9,37.693023681640625,-121.81136322021484,388.44816953804195,-1.0,0.0,,,1.0,1.0
1.753375256134365E9,37.69301986694336,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.7533752571335511E9,37.69301986694336,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.753375258133358E9,37.69301986694336,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.7533752591336632E9,37.69301986694336,-121.81136322021484,387.46718659488505,-1.0,0.0,,,1.0,1.0
1.753375260140569E9,37.69301986694336,-121.81136322021484,387.1391076115481,-1.0,0.0,,,1.0,1.0
1.753375261132793E9,37.693023681640625,-121.81136322021484,386.8077495905354,-1.0,0.0,,,1.0,1.0
1.753375262132553E9,37.69301986694336,-121.81136322021484,386.4829496448743,-1.0,0.0,,,1.0,1.0
1.75337526313375E9,37.69301986694336,-121.81136322021484,386.15484563071544,-1.0,0.0,,,1.0,1.0
1.753375264133212E9,37.69301986694336,-121.81136322021484,386.4829496448743,-1.0,0.0,,,1.0,1.0
1.753375265134542E9,37.69301986694336,-121.81136322021484,386.4829496448743,-1.0,0.0,,,1.0,1.0
1.753375266133974E9,37.693023681640625,-121.81136322021484,386.8077495905354,-1.0,0.0,,,1.0,1.0
1.753375267148427E9,37.69302749633789,-121.81136322021484,386.8077495905354,-1.0,0.0,,,1.0,1.0
1.753375268133494E9,37.69302749633789,-121.81136322021484,387.1391076115481,-1.0,0.0,,,1.0,1.0
1.753375269133929E9,37.69302749633789,-121.81136322021484,387.46718659488505,-1.0,0.0,,,1.0,1.0
1.753375270136298E9,37.693031311035156,-121.81136322021484,387.46718659488505,-1.0,0.0,,,1.0,1.0
1.753375272154856E9,37.69303894042969,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.753375274178453E9,37.69306182861328,-121.81136322021484,388.44816953804195,-1.0,0.0,,,1.0,1.0
1.753375276133621E9,37.693092346191406,-121.81136322021484,388.44816953804195,-1.0,0.0,,,1.0,1.0
1.7533752771339002E9,37.69310760498047,-121.81136322021484,387.795265578222,-1.0,0.0,,,1.0,1.0
1.7533752781340132E9,37.6931266784668,-121.81136322021484,388.12336959238087,-1.0,0.0,,,1.0,1.0
1.75337527913721E9,37.69314956665039,-121.81136322021484,387.1391076115481,-1.0,0.0,,,1.0,1.0
1.7533752801668239E9,37.693180084228516,-121.81136322021484,386.4829496448743,-1.0,0.0,,,1.0,1.0
1.7533752821330972E9,37.6932487487793,-121.81136322021484,385.4986876640416,0.8260679005654685,8.359400485820204,,,1.0,1.0
1.753375283133894E9,37.69329071044922,-121.81136322021484,385.16732964302884,0.012904455073712608,8.630669865729097,,,1.0,1.3329999446868896
1.7533752844260511E9,37.69333267211914,-121.81136322021484,385.8267666473785,0.9998037808884441,9.24633218459702,,,1.0,1.3329999446868896
1.753375286145972E9,37.69342041015625,-121.81136322021484,386.15484563071544,0.8916449343275565,9.368520557167072,,,1.0,1.3329999446868896
1.753375287140122E9,37.69346237182617,-121.81136322021484,386.15484563071544,0.8248663985849615,9.181729122990268,,,1.3329999446868896,1.3329999446868896
1.753375288135108E9,37.69350814819336,-121.81135559082031,386.15484563071544,0.16313581456055584,9.557921743803883,,,1.3329999446868896,1.3329999446868896
1.753375290133641E9,37.6935920715332,-121.81136322021484,387.1391076115481,352.8829593040092,8.660464223493344,,,1.3329999446868896,1.3329999446868896
1.75337529113316E9,37.69363021850586,-121.8113784790039,386.8077495905354,349.3562673274698,8.524638981623589,,,1.3329999446868896,1.3329999446868896
1.753375292138984E9,37.69367218017578,-121.81139373779297,387.795265578222,346.14892525825894,8.606863801790675,,,1.3329999446868896,1.3329999446868896
1.753375293134749E9,37.693702697753906,-121.81141662597656,387.795265578222,333.5631948385611,8.1559213825447,,,1.3329999446868896,1.3329999446868896
1.753375294134032E9,37.6937370300293,-121.81143951416016,388.44816953804195,327.8182053989174,7.762861718239774,,,1.3329999446868896,1.3329999446868896
1.753375295150039E9,37.69375991821289,-121.81148529052734,389.10760654239164,318.57162423149185,7.303188228594192,,,1.3329999446868896,1.3329999446868896
1.753375296204043E9,37.69377899169922,-121.8115234375,389.43568552572856,308.0335624860978,7.638162780697776,,,1.0,1.3329999446868896
1.753375297139806E9,37.693790435791016,-121.81156158447266,389.43568552572856,-1.0,0.0,,,1.0,1.3329999446868896
1.753375298134142E9,37.693790435791016,-121.81159973144531,389.43568552572856,278.6219360410515,7.429751604507096,,,1.0,1.3329999446868896
1.753375299147845E9,37.69379425048828,-121.81163787841797,389.7637895398874,272.99330475416855,8.41277395962341,,,1.0,1.3329999446868896
1.7533753001338592E9,37.69379425048828,-121.81168365478516,390.41994750656124,271.62640691462224,9.38282925880725,,,1.0,1.3329999446868896
1.753375301134341E9,37.69379806518555,-121.81175231933594,391.404209487394,271.0212769964642,11.34219073113392,,,1.0,1.0
1.753375302133895E9,37.69379806518555,-121.81182861328125,392.06036745406783,270.46238565159354,13.488776409999337,,,1.0,1.0
1.753375303133079E9,37.69379806518555,-121.81192016601562,391.72900943305507,270.51926248355096,16.515581600170233,,,1.0,1.0
1.753375304133647E9,37.69380187988281,-121.81201934814453,391.72900943305507,269.77997987069057,19.74183046551224,,,1.0,1.0
