Pilot,Tail Number,Derived Origin,Start Latitude,Start Longitude,Derived Destination,End Latitude,End Longitude,Start Time,End Time,Total Duration,Total Distance,Initial Attitude Source,Device Model,Device Model Detailed,iOS Version,Battery Level,Battery State,GPS Source,Maximum Vertical Error,Minimum Vertical Error,Average Vertical Error,Maximum Horizontal Error,Minimum Horizontal Error,Average Horizontal Error,Imported From,Route Waypoints
"","N51448","KLVK",37.68982696533203,-121.81239318847656,"KLVK",37.68986042911444,-121.81218210664072,1750537570116,1750543395171,5825.054961919785,66.65536739116753,"None","iPad","iPad16,1","18.5",0.9,"Sentry",30.00000000119701,1.0,1.7353034393067523,27.083044543267526,1.0,1.5556981778871624,"iOS",""
Timestamp,Latitude,Longitude,Altitude,Course,Speed,Bank,Pitch,Horizontal Error,Vertical Error
1.750537570116991E9,37.68982696533203,-121.81239318847656,521.3221852860734,-1.0,0.0,,,1.0,1.0
1.750537571116616E9,37.68982696533203,-121.81239318847656,521.653543307086,-1.0,0.0,,,1.0,1.0
1.750537572124964E9,37.6898307800293,-121.81239318847656,521.653543307086,-1.0,0.0,,,1.0,1.0
1.7505375731200008E9,37.6898307800293,-121.81239318847656,520.9973853404122,-1.0,0.0,,,1.0,1.0
1.750537574316459E9,37.68982696533203,-121.81243896484375,502.6246619036812,-1.0,0.0,,,2.6659998893737793,1.6660000085830688
1.750537576116984E9,37.689823150634766,-121.81243133544922,500.65288393516187,-1.0,0.0,,,1.6660000085830688,1.3329999446868896
1.7505375781171799E9,37.68983459472656,-121.81243133544922,500.9842419561746,-1.0,0.0,,,1.3329999446868896,1.0
1.750537579116988E9,37.689842224121094,-121.81243133544922,500.65288393516187,-1.0,0.0,,,1.3329999446868896,1.0
1.750537580117053E9,37.689849853515625,-121.81243133544922,503.933723830175,-1.0,0.0,,,1.3329999446868896,1.0
1.750537581116559E9,37.68985366821289,-121.81241607666016,506.889763779527,-1.0,0.0,,,1.3329999446868896,1.0
1.7505375831173081E9,37.68986892700195,-121.81241607666016,511.8110236220467,-1.0,0.0,,,1.0,1.0
1.750537584118867E9,37.68987274169922,-121.81241607666016,513.4514435695532,-1.0,0.0,,,1.0,1.0
1.750537585118137E9,37.68987274169922,-121.81241607666016,514.760505496047,-1.0,0.0,,,1.0,1.0
1.750537586118943E9,37.689876556396484,-121.81243133544922,515.4166634627209,-1.0,0.0,,,1.0,1.0
1.750537587117074E9,37.68988037109375,-121.81243133544922,516.0761254978926,-1.0,0.0,,,1.0,1.0
1.750537588117388E9,37.689884185791016,-121.81241607666016,515.4166634627209,-1.0,0.0,,,1.0,1.0
1.750537589117022E9,37.689884185791016,-121.81241607666016,515.0918635170598,-1.0,0.0,,,1.0,1.0
1.750537590120753E9,37.689884185791016,-121.8124008178711,514.4357055503859,-1.0,0.0,,,1.0,1.0
1.750537592116786E9,37.68988037109375,-121.8124008178711,512.4671815887206,-1.0,0.0,,,1.0,1.0
1.750537593117597E9,37.68988037109375,-121.8124008178711,511.47966560103396,-1.0,0.0,,,1.0,1.0
1.750537594124409E9,37.68988037109375,-121.8124008178711,510.17060367454013,-1.0,0.0,,,1.0,1.0
1.7505375961178942E9,37.68988037109375,-121.81239318847656,509.18634169370745,-1.0,0.0,,,1.0,1.0
1.750537597119573E9,37.689884185791016,-121.81239318847656,508.5301837270336,-1.0,0.0,,,1.0,1.0
1.7505375981200309E9,37.689884185791016,-121.81239318847656,507.87402576035976,-1.0,0.0,,,1.0,1.0
1.7505375991181722E9,37.689884185791016,-121.81239318847656,506.55840575851425,-1.0,0.0,,,1.0,1.0
1.750537600117176E9,37.689884185791016,-121.81239318847656,505.57414377768157,-1.0,0.0,,,1.0,1.0
1.750537601116911E9,37.689884185791016,-121.8123779296875,504.26508185118774,-1.0,0.0,,,1.0,1.0
1.750537602117206E9,37.68988037109375,-121.8123779296875,502.95276591784005,-1.0,0.0,,,1.0,1.0
1.750537603119529E9,37.68988037109375,-121.8123779296875,501.96850393700737,-1.0,0.0,,,1.0,1.0
1.750537604116828E9,37.68988037109375,-121.8123779296875,500.65288393516187,-1.0,0.0,,,1.0,1.0
